codigo_ibge6,drs_numero,drs_nome
354770,11,Presidente Prudente
354780,01,Grande São Paulo
354790,13,Ribeirão Preto
354800,07,Campinas
354805,02,Araçatuba
354810,14,São João da Boa Vista
354820,17,Taubaté
354830,11,Presidente Prudente
354840,02,Araçatuba
354850,04,Baixada Santista
354860,17,Taubaté
354870,01,Grande São Paulo
354880,01,Grande São Paulo
354890,03,Araraquara
354900,15,São José do Rio Preto
354910,14,São João da Boa Vista
354920,15,São José do Rio Preto
354925,15,São José do Rio Preto
354930,11,Presidente Prudente
354940,08,Franca
354950,08,Franca
354960,17,Taubaté
354970,14,São João da Boa Vista
354980,15,São José do Rio Preto
354990,17,Taubaté
354995,01,Grande São Paulo
355000,17,Taubaté
355010,06,Bauru
355020,16,Sorocaba
355030,01,Grande São Paulo
355040,10,Piracicaba
355050,09,Marília
355060,16,Sorocaba
355070,17,Taubaté
355080,14,São João da Boa Vista
355090,13,Ribeirão Preto
355100,04,Baixada Santista
355110,16,Sorocaba
355120,06,Bauru
355130,15,São José do Rio Preto
355140,13,Ribeirão Preto
355150,13,Ribeirão Preto
355160,07,Campinas
355170,13,Ribeirão Preto
355180,12,Registro
355190,05,Barretos
355200,17,Taubaté
355210,07,Campinas
355220,16,Sorocaba
355230,02,Araçatuba
355240,07,Campinas
355250,01,Grande São Paulo
355255,02,Araçatuba
355260,15,São José do Rio Preto
355270,03,Araraquara
355280,01,Grande São Paulo
355290,11,Presidente Prudente
355300,06,Bauru
355310,05,Barretos
355320,05,Barretos
355330,14,São João da Boa Vista
355340,15,São José do Rio Preto
355350,16,Sorocaba
355360,14,São João da Boa Vista
355365,05,Barretos
355370,03,Araraquara
355380,06,Bauru
355385,16,Sorocaba
355390,11,Presidente Prudente
355395,09,Marília
355400,16,Sorocaba
355410,17,Taubaté
355420,06,Bauru
355430,11,Presidente Prudente
355440,05,Barretos
355450,16,Sorocaba
355460,09,Marília
355465,06,Bauru
355470,06,Bauru
355475,03,Araraquara
355480,17,Taubaté
